,Topic,Count,Name,Representation
0,-1,46,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'is', 'that', 'for', 'with', 'you']"
1,0,71,0_and_the_to_of,"['and', 'the', 'to', 'of', 'in', 'for', 'is', 'you', 'that', 'with']"
2,1,34,1_the_to_of_and,"['the', 'to', 'of', 'and', 'in', 'is', 'that', 'for', 'with', 'as']"
3,2,25,2_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'that', 'is', 'for', 'it', 'be']"
