,Topic,Count,Name,Representation
44,43,53,43_dui_defense_criminal_attorney,"['dui', 'defense', 'criminal', 'attorney', 'gasner', 'or', 'crime', 'law', 'hutch', 'charged']"
45,44,52,44_travel_subscribers_hotels_hotel,"['travel', 'subscribers', 'hotels', 'hotel', 'you', 'or', 'our', 'any', 'ants', 'churches']"
46,45,50,45_assisted_living_filter_oil,"['assisted', 'living', 'filter', 'oil', 'care', 'senior', 'seniors', 'nursing', 'older', 'impala']"
47,46,50,46_martial_lop_instructors_arts,"['martial', 'lop', 'instructors', 'arts', 'aikido', 'sensei', 'belt', 'taekwondo', 'judo', 'dojo']"
48,47,49,47_yoga_body_yog_meditation,"['yoga', 'body', 'yog', 'meditation', 'eyes', 'practice', 'breath', 'mind', 'the', 'is']"
49,48,49,48_africa_kenya_uganda_country,"['africa', 'kenya', 'uganda', 'country', 'capital', 'tanzania', 'saami', 'safari', 'african', 'saamis']"
50,49,48,49_accessibility_pest_disabilities_accessible,"['accessibility', 'pest', 'disabilities', 'accessible', 'control', 'unfpa', 'disability', 'blind', 'people', 'web']"
51,50,48,50_he_his_st_was,"['he', 'his', 'st', 'was', 'bishop', 'him', 'photius', 'church', 'pope', 'father']"
52,51,47,51_library_books_vineyard_libraries,"['library', 'books', 'vineyard', 'libraries', 'book', 'public', 'dummies', 'haven', 'at', 'jugle']"
53,52,47,52_data_cloud_business_management,"['data', 'cloud', 'business', 'management', 'analytics', 'crm', 'solution', 'bi', 'dating', 'dashboard']"
54,53,47,53_university_students_academic_universities,"['university', 'students', 'academic', 'universities', 'education', 'study', 'bochum', 'international', 'in', 'courses']"
55,54,46,54_teachers_tutors_learning_students,"['teachers', 'tutors', 'learning', 'students', 'teaching', 'tutor', 'math', 'school', 'mathematics', 'tutoring']"
56,55,45,55_her_she_film_bond,"['her', 'she', 'film', 'bond', 'connery', 'sean', 'moynahan', 'was', 'james', 'his']"
57,56,45,56_wedding_ceremony_your_event,"['wedding', 'ceremony', 'your', 'event', 'weddings', 'officiant', 'day', 'you', 'planning', 'we']"
58,57,45,57_astrology_gemini_aries_samvatsara,"['astrology', 'gemini', 'aries', 'samvatsara', 'native', 'planets', 'birth', 'zodiac', 'is', 'astrologer']"
59,58,42,58_economics_economic_ny_laffer,"['economics', 'economic', 'ny', 'laffer', 'settlers', 'oktoberfest', 'students', 'theory', 'paddock', 'of']"
60,59,42,59_dating_singles_buddhist_site,"['dating', 'singles', 'buddhist', 'site', 'online', 'free', 'personals', 'sites', 'christian', 'single']"
61,60,42,60_road_height_police_junction,"['road', 'height', 'police', 'junction', 'device', 'values', 'stacking', 'junctions', 'polyline', 'roads']"
62,61,41,61_vernon_mount_iowa_he,"['vernon', 'mount', 'iowa', 'he', 'school', 'was', 'award', 'high', 'years', 'his']"
63,62,40,62_customer_marketing_sales_service,"['customer', 'marketing', 'sales', 'service', 'ability', 'experience', 'work', 'skills', 'team', 'and']"
64,63,40,63_venice_aria_florence_italy,"['venice', 'aria', 'florence', 'italy', 'gambling', 'milan', 'genoa', 'trade', 'piazza', 'famous']"
65,64,39,64_border_hearing_beirut_american,"['border', 'hearing', 'beirut', 'american', 'refugees', 'migrants', 'garifuna', 'israel', 'arab', 'the']"
66,65,39,65_investment_stock_shares_fund,"['investment', 'stock', 'shares', 'fund', 'financial', 'funds', 'price', 'million', 'inc', 'value']"
67,66,39,66_ali_muhammad_islam_prophet,"['ali', 'muhammad', 'islam', 'prophet', 'he', 'his', 'muslim', 'islamic', 'ahmad', 'quran']"
68,67,38,67_funeral_cremation_cigarettes_memorial,"['funeral', 'cremation', 'cigarettes', 'memorial', 'cigarette', 'burial', 'cemetery', 'menthol', 'home', 'family']"
69,68,38,68_indigenous_aboriginal_car_women,"['indigenous', 'aboriginal', 'car', 'women', 'ncwit', 'australia', 'dream', 'strait', 'islander', 'torres']"
70,69,37,69_marathon_adeje_golf_clark,"['marathon', 'adeje', 'golf', 'clark', 'race', 'run', 'runners', 'will', 'olympic', 'caleta']"
71,70,37,70_khan_3399_movie_usd,"['khan', '3399', 'movie', 'usd', 'bollywood', 'film', 'picture', 'movies', 'seema', 'sachdev']"
72,71,37,71_domain_name_dns_domains,"['domain', 'name', 'dns', 'domains', 'gnr', 'names', 'dnssec', 'tld', 'registrars', 'registrations']"
