,Topic,Count,Name,Representation
0,-1,45,-1_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'or', 'is', 'with', 'that', 'by']"
1,0,35,0_the_of_to_and,"['the', 'of', 'to', 'and', 'in', 'that', 'is', 'for', 'with', 'as']"
2,1,30,1_the_of_and_in,"['the', 'of', 'and', 'in', 'is', 'to', 'protein', 'gene', 'with', 'for']"
3,2,27,2_the_of_and_in,"['the', 'of', 'and', 'in', 'to', 'was', 'is', 'as', 'for', 'with']"
