,Topic,Count,Name,Representation
0,-1,20,-1_the_to_of_and,"['the', 'to', 'of', 'and', 'or', 'in', 'any', 'be', 'you', 'is']"
1,0,58,0_the_to_of_and,"['the', 'to', 'of', 'and', 'or', 'any', 'in', 'you', 'that', 'this']"
2,1,33,1_the_of_and_to,"['the', 'of', 'and', 'to', 'or', 'in', 'shall', 'any', 'for', 'be']"
3,2,27,2_the_to_of_and,"['the', 'to', 'of', 'and', 'you', 'or', 'in', 'for', 'be', 'any']"
4,3,20,3_to_information_and_you,"['to', 'information', 'and', 'you', 'the', 'or', 'your', 'of', 'that', 'our']"
