,Topic,Count,Name,Representation
83,82,14,82_arginine_pats_of_the,"['arginine', 'pats', 'of', 'the', 'and', 'to', 'in', 'sequencing', 'variants', 'by']"
84,83,14,83_smartwheel_to_with_and,"['smartwheel', 'to', 'with', 'and', 'their', 'the', 'leg', 'parkinsons', 'of', 'in']"
85,84,13,84_botox_yards_skin_cosmetic,"['botox', 'yards', 'skin', 'cosmetic', 'face', 'the', 'and', 'for', 'touchdowns', 'lines']"
86,85,13,85_illuminati_pain_the_mindcontrol,"['illuminati', 'pain', 'the', 'mindcontrol', 'they', 'that', 'child', 'of', 'in', 'to']"
87,86,13,86_salmonella_coli_library_food,"['salmonella', 'coli', 'library', 'food', 'sprouts', 'mclarney', 'stores', 'chestermere', 'said', 'the']"
88,87,13,87_bacteria_antibiotic_bacterial_resistance,"['bacteria', 'antibiotic', 'bacterial', 'resistance', 'antibiotics', 'antimicrobial', 'brucella', 'bacterium', 'cell', 'of']"
89,88,12,88_aristada_antipsychotic_initio_antipsychotics,"['aristada', 'antipsychotic', 'initio', 'antipsychotics', 'drugs', 'of', 'atypical', 'vowles', 'medication', 'patients']"
90,89,11,89_dengue_virus_nile_west,"['dengue', 'virus', 'nile', 'west', 'mosquito', 'cases', 'mosquitoes', 'lac', 'co2', 'encephalitis']"
91,90,11,90_hair_tire_products_laser,"['hair', 'tire', 'products', 'laser', 'our', 'and', 'are', 'coffee', 'we', 'skin']"
92,91,11,91_cancer_commissioning_nhs_farm,"['cancer', 'commissioning', 'nhs', 'farm', 'outcomes', 'the', 'quinn', 'for', 'and', 'to']"
93,92,10,92_men_sperm_aw_women,"['men', 'sperm', 'aw', 'women', 'frhlich', 'the', 'male', 'in', 'of', 'condom']"
94,93,10,93_he_his_university_was,"['he', 'his', 'university', 'was', 'mller', 'hipps', 'in', 'photography', 'calcutta', 'medical']"
