,Topic,Count,Name,Representation
0,-1,136,-1_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'it', 'for', 'that', 'is', 'with']"
1,0,37,0_the_and_to_of,"['the', 'and', 'to', 'of', 'in', 'is', 'that', 'my', 'it', 'for']"
2,1,34,1_the_and_of_to,"['the', 'and', 'of', 'to', 'it', 'with', 'is', 'was', 'in', 'for']"
3,2,18,2_the_fulltime_per_of,"['the', 'fulltime', 'per', 'of', 'year', 'and', 'to', 'instate', 'outofstate', 'in']"
4,3,17,3_the_and_to_of,"['the', 'and', 'to', 'of', 'it', 'in', 'for', 'you', 'so', 'with']"
5,4,10,4_the_and_to_of,"['the', 'and', 'to', 'of', 'for', 'in', 'are', 'is', 'that', 'with']"
