,Topic,Count,Name,Representation
225,224,13,224_jccp_kochi_hublidharwad_bembde,"['jccp', 'kochi', 'hublidharwad', 'bembde', 'aurangabad', 'aesthetics', 'skin', 'tyct', 'plastic', 'aesthetic']"
226,225,13,225_serotonergic_5ht_serotonin_system,"['serotonergic', '5ht', 'serotonin', 'system', 'systems', 'funeral', 'contaminant', 'septic', 'the', 'in']"
227,226,13,226_childrens_blank_hospital_neonatal,"['childrens', 'blank', 'hospital', 'neonatal', 'babies', 'pediatric', 'amber', 'baby', 'iowa', 'unit']"
228,227,13,227_punk_byaf_wrist_fractures,"['punk', 'byaf', 'wrist', 'fractures', 'fracture', 'tibia', 'femur', 'kage', 'dundee', 'band']"
229,228,13,228_electrolyte_water_sodium_drink,"['electrolyte', 'water', 'sodium', 'drink', 'drinking', 'dehydration', 'hydration', 'body', 'rehydration', 'nuun']"
230,229,12,229_plantar_heel_fasciitis_wage,"['plantar', 'heel', 'fasciitis', 'wage', 'ebusiness', 'turnover', 'foot', 'pain', 'heels', 'business']"
231,230,12,230_pregnancy_test_hcg_pregnant,"['pregnancy', 'test', 'hcg', 'pregnant', 'signs', 'implantation', 'urine', 'bleeding', 'you', 'embryo']"
232,231,12,231_disposal_waste_facility_radioactive,"['disposal', 'waste', 'facility', 'radioactive', 'management', 'technical', 'information', 'nuclear', 'facilities', 'lowlevel']"
233,232,12,232_defective_errors_medication_lawyers,"['defective', 'errors', 'medication', 'lawyers', 'steppin', 'lawsuits', 'injury', 'pharmacists', 'attorneys', 'drug']"
234,233,12,233_microneedling_skin_collagen_prp,"['microneedling', 'skin', 'collagen', 'prp', 'elastin', 'growth', 'hyaluronic', 'treatment', 'micropeel', 'healing']"
235,234,12,234_vertigo_vestibular_dizziness_paroxysmal,"['vertigo', 'vestibular', 'dizziness', 'paroxysmal', 'patients', 'menieres', 'flynt', 'bppv', 'nystagmus', 'positional']"
236,235,12,235_acne_scars_scar_skin,"['acne', 'scars', 'scar', 'skin', 'keloid', 'keto', 'microdermabrasion', 'embody', 'laser', 'jersey']"
237,236,12,236_bipolar_disorder_antidepressants_manic,"['bipolar', 'disorder', 'antidepressants', 'manic', 'mania', 'my', 'episodes', 'depressive', 'mental', 'mood']"
238,237,12,237_kundalini_yoga_rna_alexandre,"['kundalini', 'yoga', 'rna', 'alexandre', 'mirna', 'ez1', 'cad', 'mirnas', 'stewart', 'teacher']"
239,238,12,238_knee_osteoarthritis_pain_exercise,"['knee', 'osteoarthritis', 'pain', 'exercise', 'joint', 'joints', 'brace', 'koos', 'knees', 'your']"
240,239,12,239_cefi_bed_khandelwal_rail,"['cefi', 'bed', 'khandelwal', 'rail', 'rails', 'healthful', 'fats', 'debt', 'mattress', 'cefixime']"
241,240,11,240_manila_metro_retardation_2f,"['manila', 'metro', 'retardation', '2f', 'philippines', 'retrieved', 'quezon', 'fft', 'amd', '2015']"
242,241,11,241_cat_smell_cats_urine,"['cat', 'smell', 'cats', 'urine', 'pet', 'angoon', 'pets', 'deodorizer', 'chat', 'your']"
243,242,11,242_mercator_capitalism_book_everything,"['mercator', 'capitalism', 'book', 'everything', 'changes', 'atlas', 'mercators', 'maps', 'map', 'his']"
244,243,11,243_coyote_certificate_dating_court,"['coyote', 'certificate', 'dating', 'court', 'aussie', 'health', 'her', 'match', 'course', 'tennis']"
245,244,11,244_nail_scabies_cob_scout,"['nail', 'scabies', 'cob', 'scout', 'fungus', 'fungal', 'deprozan', 'amantadine', 'atenal', 'vincent']"
246,245,11,245_cupping_serviced_kris_workshop,"['cupping', 'serviced', 'kris', 'workshop', 'apartment', 'newton', 'cups', 'massage', 'b14', 'icta']"
247,246,11,246_milk_urea_ruminal_percentage,"['milk', 'urea', 'ruminal', 'percentage', 'mon', 'furosine', 'lactulose', 'shots', 'osteoporosis', 'goals']"
248,247,11,247_ankle_foot_tendon_achilles,"['ankle', 'foot', 'tendon', 'achilles', 'deformity', 'heel', 'pain', 'flatfoot', 'injury', 'arch']"
249,248,11,248_hybridization_dna_filter_nucleic,"['hybridization', 'dna', 'filter', 'nucleic', 'bound', 'probe', 'q96', 'pyromark', 'qts', 'tpims']"
250,249,11,249_gmo_gospel_lutein_carrots,"['gmo', 'gospel', 'lutein', 'carrots', 'vitapherole', 'non', 'vitamin', 'tabiun', 'zeaxanthin', 'vitavonoide']"
251,250,10,250_music_chattanooga_therapy_therapists,"['music', 'chattanooga', 'therapy', 'therapists', 'musical', 'tennessee', 'skills', 'windows', 'learning', 'jobs']"
252,251,10,251_phentermine_weight_phen375_loss,"['phentermine', 'weight', 'phen375', 'loss', 'fat', 'pills', 'appetite', 'diet', 'straayer', 'forskolin']"
253,252,10,252_nursing_nurse_practice_nurses,"['nursing', 'nurse', 'practice', 'nurses', 'program', 'learning', 'students', 'rn', 'advanced', 'care']"
254,253,10,253_nm_a260a280_absorbance_nucleic,"['nm', 'a260a280', 'absorbance', 'nucleic', 'wallpaper', '280', 'microplate', 'tsh', 'extinction', 'nsw']"
255,254,10,254_cinnamon_detox_liver_pike,"['cinnamon', 'detox', 'liver', 'pike', 'body', 'detoxification', 'will', 'quickoffice', 'weight', 'june']"
