,Topic,Count,Name,Representation
0,-1,84,-1_the_a40_of_and,"['the', 'a40', 'of', 'and', 'in', 'to', 'is', 'for', 'as', 'with']"
1,0,40,0_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'ibm', 'for', 'that', 'was', 'with']"
2,1,38,1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'was', 'on', 'for', 'with', 'by']"
3,2,29,2_the_of_and_to,"['the', 'of', 'and', 'to', 'in', 'is', 'can', 'that', 'be', 'are']"
4,3,13,3_the_and_of_in,"['the', 'and', 'of', 'in', 'to', 'with', 'was', 'on', 'for', 'is']"
